Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry,serial
DR00001871M,2,,1,1,2.62,,
DR00001872M,2,,1,1,2.62,,
DR00001873M,2,,1,1,2.62,,
TG00001296M,2,,1,1,2.62,,
DR00001773M,2,,1,1,2.62,,
DR00001776M,2,,1,1,2.62,,
DR00001777M,2,,1,1,2.62,,
DR00001779M,2,,1,1,2.62,,
DR00001780M,2,,1,1,2.62,,
DR00001781M,2,,1,1,2.62,,
DR00001782M,2,,1,1,2.62,,
DR00001783M,2,,1,1,2.62,,
DR00001784M,2,,1,1,2.62,,
DR00001785M,2,,1,1,2.62,,
DR00001787M,2,,1,1,2.62,,
DR00001789M,2,,1,1,2.62,,
DR00001792M,2,,1,1,2.62,,
DR00001793M,2,,1,1,2.62,,
DR00001810M,2,,1,1,2.62,,
DR00001825M,2,,1,1,2.62,,
SB00001715M,2,,1,1,2.62,,
SB00001718M,2,,1,1,2.62,,
SB00001721M,2,,1,1,2.62,,
SB00001749M,2,,1,1,2.62,,
SB00001753M,2,,1,1,2.62,,
SB00001757M,2,,1,1,2.62,,
SB00001776M,2,,1,1,2.62,,
SB00001779M,2,,1,1,2.62,,
SB00001780M,2,,1,1,2.62,,
SB00001788M,2,,1,1,2.62,,
SB00001791M,2,,1,1,2.62,,
SB00001793M,2,,1,1,2.62,,
SB00001806M,2,,1,1,2.62,,
SB00001807M,2,,1,1,2.62,,
SB00001808M,2,,1,1,2.62,,
SB00001809M,2,,1,1,2.62,,
SB00001810M,2,,1,1,2.62,,
SB00001811M,2,,1,1,2.62,,
SB00001819M,2,,1,1,2.62,,
SB00001836M,2,,1,1,2.62,,
SB00001837M,2,,1,1,2.62,,
SB00001838M,2,,1,1,2.62,,
SB00001839M,2,,1,1,2.62,,
SB00001840M,2,,1,1,2.62,,
SB00001841M,2,,1,1,2.62,,
SB00001982M,2,,1,1,2.62,,
DR00001826M,2,,1,1,2.62,,
SB00002009M,2,,1,1,2.62,,
NB00001969M,2,,1,1,2.62,,
NB00001971M,2,,1,1,2.62,,
NB00001972M,2,,1,1,2.62,,
NB00001974M,2,,1,1,2.62,,
NB00001975M,2,,1,1,2.62,,
NB00001977M,2,,1,1,2.62,,
NB00001978M,2,,1,1,2.62,,
NB00001980M,2,,1,1,2.62,,
NB00001983M,2,,1,1,2.62,,
NB00001986M,2,,1,1,2.62,,
NB00001987M,2,,1,1,2.62,,
NB00001988M,2,,1,1,2.62,,
NB00001991M,2,,1,1,2.62,,
NB00001994M,2,,1,1,2.62,,
NB00001997M,2,,1,1,2.62,,
NB00002000M,2,,1,1,2.62,,
NB00002003M,2,,1,1,2.62,,
NB00002016M,2,,1,1,2.62,,
NB00002017M,2,,1,1,2.62,,
NB00002018M,2,,1,1,2.62,,
NB00002019M,2,,1,1,2.62,,
NB00002020M,2,,1,1,2.62,,
NB00002021M,2,,1,1,2.62,,
