Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry,serial
AC0031733,39,,2,1,0.57,,
AC0031734,29,,2,1,0.62,,
AC0031735,10,,2,1,0.59,,
AC0031736,9,,2,1,0.64,,
AC0033465,4,,2,1,2,,
AC0033466,4,,2,1,2,,
AC0033467,4,,2,1,2,,
NB0034636,52,,2,1,2.68,,
NB0034638,6,,2,1,2.68,,
T0035336,7,,2,1,2.68,,
T0035339,23,,2,1,3.73,,
T0035349,4,,2,1,3.14,,
T0035350,10,,2,1,2.86,,
T0035355,39,,2,1,1.49,,
T0035360,12,,2,1,2,,
NB0036819,11,,2,1,7.19,,
NB0036820,15,,2,1,7.49,,
T0037080,7,,2,1,3.28,,
T0037093,4,,2,1,3.73,,
T0039492,2,,2,1,2.14,,
T0039494,9,,2,1,2.14,,
T0039496,11,,2,1,2.14,,
T0039507,3,,2,1,3.29,,
T0039510,13,,2,1,3.71,,
NB0039515,3,,2,1,3.71,,
NB0039516,6,,2,1,3.71,,
NB0039517,1,,2,1,3.71,,
T0039536,7,,2,1,3.73,,
NB0039574,14,,2,1,8.68,,
AC0039984,2,,2,1,0.93,,
AC0039987,4,,2,1,0.78,,
AC0039989,26,,2,1,0.5,,
AC0040049,12,,2,1,0.5,,
AC0040051,9,,2,1,0.5,,
AC0040052,11,,2,1,0.5,,
AC0040053,13,,2,1,0.5,,
T0040265,3,,2,1,0.5,,
T0040266,4,,2,1,0.5,,
T0040278,1,,2,1,3.57,,
T0040279,2,,2,1,3.57,,
T0040280,2,,2,1,3.57,,
T0040281,2,,2,1,3.57,,
NB0040296,37,,2,1,1.07,,
S0045516,9,,2,1,1.07,,
AC0045522,11,,2,1,1.86,,
AC00001058M,23,,2,1,1.16,,
AC00001059M,38,,2,1,1.45,,
NB00001445M,4,,2,1,,,
NB00001450M,34,,2,1,0.87,,
NB00001455M,9,,2,1,1.6,,
NB00001458M,11,,2,1,5.14,,
NB00001459M,7,,2,1,5.14,,
NB00001460M,10,,2,1,5.14,,
NB00001461M,10,,2,1,5.14,,
NB00001472M,120,,2,1,1.49,,
NB00001475M,19,,2,1,2.24,,
NB00001476M,21,,2,1,2.24,,
NB00001477M,12,,2,1,2.24,,
NB00001478M,2,,2,1,2.24,,
NB00001479M,19,,2,1,1.27,,
NB00001482M,132,,2,1,1.27,,
NB00001483M,9,,2,1,0.89,,
NB00001498M,4,,2,1,3,,
NB00001500M,5,,2,1,1.7,,
NB00001501M,1,,2,1,3,,
NB00001502M,2,,2,1,3,,
NB00001503M,2,,2,1,3,,
NB00001507M,6,,2,1,1.07,,
NB00001510M,5,,2,1,3,,
NB00001516M,9,,2,1,1.07,,
NB00001517M,3,,2,1,3,,
NB00001518M,3,,2,1,3,,
NB00001519M,3,,2,1,3,,
NB00001524M,9,,2,1,1.07,,
NB00001528M,1,,2,1,3,,
NB00001529M,1,,2,1,3,,
NB00001530M,1,,2,1,3,,
NB00001532M,3,,2,1,1.07,,
NB00001536M,3,,2,1,3,,
NB00001537M,3,,2,1,3,,
NB00001538M,3,,2,1,3,,
NB00001540M,8,,2,1,1.07,,
NB00001542M,3,,2,1,3.5,,
NB00001543M,5,,2,1,1.07,,
NB00001546M,5,,2,1,1.07,,
NB00001548M,3,,2,1,3.5,,
NB00001549M,4,,2,1,1.07,,
NB00001551M,5,,2,1,3.5,,
NB00001552M,5,,2,1,1.07,,
NB00001554M,3,,2,1,3.5,,
NB00001555M,4,,2,1,1.07,,
S00001000M,11,,2,1,0.5,,
S00001001M,5,,2,1,0.5,,
S00001002M,4,,2,1,0.5,,
S00001003M,11,,2,1,0.5,,
S00001004M,9,,2,1,0.5,,
S00001005M,3,,2,1,0.5,,
S00001006M,9,,2,1,0.5,,
