Code,Quantity,option_id,warehouse_id,opening_stock,cost,expiry,serial
S00001007M,12,,2,1,0.5,,
S00001008M,118,,2,1,0.5,,
S00001009M,4,,2,1,0.5,,
S00001010M,4,,2,1,0.5,,
S00001011M,6,,2,1,0.5,,
S00001013M,8,,2,1,0.5,,
S00001014M,4,,2,1,0.5,,
S00001015M,2,,2,1,0.5,,
S00001016M,6,,2,1,0.5,,
S00001017M,5,,2,1,0.5,,
S00001018M,7,,2,1,0.5,,
S00001019M,4,,2,1,0.5,,
S00001020M,5,,2,1,0.5,,
S00001021M,45,,2,1,0.5,,
S00001022M,12,,2,1,0.5,,
S00001023M,11,,2,1,0.5,,
S00001024M,34,,2,1,0.5,,
S00001025M,8,,2,1,0.5,,
S00001026M,9,,2,1,0.5,,
S00001027M,36,,2,1,0.5,,
S00001028M,11,,2,1,0.5,,
S00001029M,11,,2,1,0.5,,
S00001030M,5,,2,1,0.5,,
S00001031M,5,,2,1,0.5,,
S00001033M,3,,2,1,0.5,,
S00001034M,17,,2,1,0.5,,
S00001035M,21,,2,1,0.5,,
S00001036M,22,,2,1,0.5,,
S00001037M,18,,2,1,0.5,,
S00001038M,27,,2,1,0.5,,
S00001039M,33,,2,1,0.5,,
T00001011M,10,,2,1,3.87,,
T00001014M,7,,2,1,3.71,,
T00001023M,5,,2,1,2.14,,
T00001030M,4,,2,1,3.71,,
T00001036M,15,,2,1,1.57,,
T00001037M,9,,2,1,2.86,,
T00001039M,3,,2,1,1.43,,
T00001040M,3,,2,1,1.43,,
T00001041M,5,,2,1,4.57,,
T00001043M,4,,2,1,4.57,,
T00001044M,5,,2,1,4.57,,
T00001046M,5,,2,1,4.57,,
T00001047M,6,,2,1,2.14,,
T00001054M,6,,2,1,3.71,,
T00001060M,6,,2,1,3.71,,
T00001061M,8,,2,1,3.71,,
T00001064M,10,,2,1,3.71,,
T00001066M,1,,2,1,3.14,,
T00001069M,6,,2,1,3.73,,
T00001070M,5,,2,1,3.73,,
T00001071M,5,,2,1,1.19,,
T00001072M,4,,2,1,1.19,,
T00001073M,4,,2,1,1.19,,
T00001074M,5,,2,1,3.28,,
T00001075M,5,,2,1,3.28,,
T00001076M,4,,2,1,3.28,,
T00001077M,5,,2,1,3.28,,
T00001078M,4,,2,1,3.28,,
T00001079M,5,,2,1,3.28,,
T00001080M,2,,2,1,2.68,,
T00001081M,4,,2,1,2.68,,
T00001082M,4,,2,1,2.68,,
T00001083M,4,,2,1,1.19,,
T00001084M,3,,2,1,1.19,,
T00001085M,3,,2,1,1.19,,
T00001086M,4,,2,1,1.19,,
T00001087M,1,,2,1,1.19,,
T00001088M,3,,2,1,1.19,,
T00001089M,4,,2,1,1.19,,
T00001090M,3,,2,1,1.19,,
T00001091M,3,,2,1,1.19,,
T00001092M,2,,2,1,1.19,,
T00001093M,4,,2,1,1.19,,
T00001094M,10,,2,1,0.5,,
T00001099M,6,,2,1,0.5,,
T00001102M,6,,2,1,0.5,,
AC00001129M,78,,2,1,0.5,,
NB00001733M,26,,2,1,0.5,,
AC00001130M,53,,2,1,0.5,,
AC00001131M,29,,2,1,0.5,,
AC00001132M,13,,2,1,0.5,,
AC00001133M,47,,2,1,0.5,,
NB00001734M,17,,2,1,0.5,,
T00001103M,10,,2,1,0.5,,
T00001104M,9,,2,1,0.5,,
T00001105M,3,,2,1,0.5,,
T00001106M,10,,2,1,0.5,,
T00001109M,10,,2,1,0.5,,
T00001110M,9,,2,1,0.5,,
T00001111M,10,,2,1,0.5,,
T00001112M,10,,2,1,0.5,,
T00001113M,10,,2,1,0.5,,
T00001114M,9,,2,1,0.5,,
T00001115M,10,,2,1,0.5,,
T00001116M,8,,2,1,0.5,,
T00001117M,8,,2,1,0.5,,
T00001118M,10,,2,1,0.5,,
T00001119M,10,,2,1,0.5,,
T00001120M,10,,2,1,0.5,,
T00001121M,10,,2,1,0.5,,
T00001122M,12,,2,1,0.5,,
T00001123M,3,,2,1,0.5,,
T00001124M,5,,2,1,0.5,,
T00001125M,4,,2,1,0.5,,
T00001126M,5,,2,1,0.5,,
T00001127M,5,,2,1,0.5,,
T00001128M,5,,2,1,0.5,,
T00001129M,5,,2,1,0.5,,
T00001130M,5,,2,1,0.5,,
T00001131M,5,,2,1,0.5,,
NB00001987M,28,,2,1,0.5,,
NB00001988M,10,,2,1,0.5,,
NB00001991M,5,,2,1,0.5,,
NB00001994M,5,,2,1,0.5,,
NB00002000M,5,,2,1,0.5,,
NB00002003M,5,,2,1,0.5,,
NB00002006M,25,,2,1,0.5,,
